GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sumativa,com.project.sumativa.service,UsuarioService,111,28,2,0,22,7,7,4,6,4
sumativa,com.project.sumativa.exception,GlobalExceptionHandle,212,3,0,0,41,1,7,1,7,1
sumativa,com.project.sumativa.exception,UsuarioNotFound,0,5,0,0,0,2,0,1,0,1
sumativa,com.project.sumativa.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
sumativa,com.project.sumativa.config,CorsConfig.new WebMvcConfigurer() {...},0,45,0,0,0,6,0,2,0,2
sumativa,com.project.sumativa.config,SecurityConfig,0,23,0,0,0,7,0,4,0,4
sumativa,com.project.sumativa.model,ResponseWrapper,43,0,0,0,18,0,9,0,9,0
sumativa,com.project.sumativa,SumativaApplication,5,3,0,0,2,1,1,1,1,1
sumativa,com.project.sumativa.hateoas,UsuarioModelAssembler,59,3,0,0,13,1,1,1,1,1
sumativa,com.project.sumativa.controller,UsuarioController,97,28,2,0,23,8,5,3,4,3
